Time,Signal_Type,Value
0,ORDEN_MEDICA,183
1.45582,CAUDAL_ACTUADOR,196.107
588.456,CAUDAL_ACTUADOR,169.716
838.456,CAUDAL_ACTUADOR,194.781
880.184,ORDEN_MEDICA,27
882.643,CAUDAL_ACTUADOR,29.9304
888,ALARMA_MEDIA,-5
889.008,CAUDAL_ACTUADOR,27.6932
1457.01,CAUDAL_ACTUADOR,25.3339
1988.01,CAUDAL_ACTUADOR,24.7753
2512.01,CAUDAL_ACTUADOR,24.601
3048.01,CAUDAL_ACTUADOR,30.233
3054,ALARMA_MEDIA,-5
3059,ALARMA_CRITICA,-6
3059.25,CAUDAL_ACTUADOR,0
3076,CONFIRMACION_ENFERMERO,-2
3077.26,CAUDAL_ACTUADOR,28.7584
3099.26,CAUDAL_ACTUADOR,28.749
3280.3,ORDEN_MEDICA,137
3282.77,CAUDAL_ACTUADOR,122.854
3288,ALARMA_MEDIA,-5
3289.45,CAUDAL_ACTUADOR,142.367
3290.03,CAUDAL_ACTUADOR,135.609
3584.28,ORDEN_MEDICA,84
3584.47,CAUDAL_ACTUADOR,84.8016
3898.47,CAUDAL_ACTUADOR,89.2466
4223.47,CAUDAL_ACTUADOR,87.3813
4806.47,CAUDAL_ACTUADOR,74.7119
4812,ALARMA_MEDIA,-5
4817,ALARMA_CRITICA,-6
4817.18,CAUDAL_ACTUADOR,0
4825,CONFIRMACION_ENFERMERO,-2
4825.44,CAUDAL_ACTUADOR,82.7925
5210.44,CAUDAL_ACTUADOR,90.6367
5462.44,CAUDAL_ACTUADOR,78.536
5662.44,CAUDAL_ACTUADOR,80.9833
5723.44,CAUDAL_ACTUADOR,93.2024
5729,ALARMA_MEDIA,-5
5734,ALARMA_CRITICA,-6
5734.34,CAUDAL_ACTUADOR,0
5764,ALARMA_CRITICA,-6
5774,ALARMA_CRITICA,-6
5784,ALARMA_CRITICA,-6
5794,ALARMA_CRITICA,-6
5804,ALARMA_CRITICA,-6
5814,ALARMA_CRITICA,-6
5824,ALARMA_CRITICA,-6
5834,ALARMA_CRITICA,-6
5844,ALARMA_CRITICA,-6
5854,ALARMA_CRITICA,-6
5864,ALARMA_CRITICA,-6
5874,ALARMA_CRITICA,-6
5884,ALARMA_CRITICA,-6
5894,ALARMA_CRITICA,-6
5904,ALARMA_CRITICA,-6
5914,ALARMA_CRITICA,-6
5916,CONFIRMACION_ENFERMERO,-2
5916.08,CAUDAL_ACTUADOR,82.3167
5957.08,CAUDAL_ACTUADOR,92.2012
6189.08,CAUDAL_ACTUADOR,76.4617
6487.08,CAUDAL_ACTUADOR,89.2512
6569.08,CAUDAL_ACTUADOR,92.7697
6575,ALARMA_MEDIA,-5
6580,ALARMA_CRITICA,-6
6580.12,CAUDAL_ACTUADOR,0
6610,ALARMA_CRITICA,-6
6616,CONFIRMACION_ENFERMERO,-2
6617.08,CAUDAL_ACTUADOR,89.9164
