Time,Signal_Type,Value
2861,ALARMA_MEDIA,-5
2866,ALARMA_CRITICA,-6
2896,ALARMA_CRITICA,-6
2906,ALARMA_CRITICA,-6
2916,ALARMA_CRITICA,-6
2926,ALARMA_CRITICA,-6
2936,ALARMA_CRITICA,-6
2946,ALARMA_CRITICA,-6
2956,ALARMA_CRITICA,-6
2966,ALARMA_CRITICA,-6
2976,ALARMA_CRITICA,-6
2986,ALARMA_CRITICA,-6
2996,ALARMA_CRITICA,-6
3006,ALARMA_CRITICA,-6
3016,ALARMA_CRITICA,-6
3613,ALARMA_MEDIA,-5
7111,ALARMA_MEDIA,-5
10168,ALARMA_MEDIA,-5
10762,ALARMA_MEDIA,-5
10767,ALARMA_CRITICA,-6
10797,ALARMA_CRITICA,-6
10807,ALARMA_CRITICA,-6
10817,ALARMA_CRITICA,-6
10827,ALARMA_CRITICA,-6
10837,ALARMA_CRITICA,-6
10847,ALARMA_CRITICA,-6
10857,ALARMA_CRITICA,-6
10867,ALARMA_CRITICA,-6
10877,ALARMA_CRITICA,-6
10887,ALARMA_CRITICA,-6
10897,ALARMA_CRITICA,-6
10907,ALARMA_CRITICA,-6
10917,ALARMA_CRITICA,-6
10927,ALARMA_CRITICA,-6
11770,ALARMA_MEDIA,-5
12092,ALARMA_MEDIA,-5
12097,ALARMA_CRITICA,-6
12128.2,ALARMA_BAJA,-4
13088,ALARMA_MEDIA,-5
13904,ALARMA_MEDIA,-5
13908,ALARMA_CRITICA,-6
13938,ALARMA_CRITICA,-6
13948,ALARMA_CRITICA,-6
13958,ALARMA_CRITICA,-6
13968,ALARMA_CRITICA,-6
13978,ALARMA_CRITICA,-6
13988,ALARMA_CRITICA,-6
13998,ALARMA_CRITICA,-6
14008,ALARMA_CRITICA,-6
14018,ALARMA_CRITICA,-6
14028,ALARMA_CRITICA,-6
14038,ALARMA_CRITICA,-6
14048,ALARMA_CRITICA,-6
14058,ALARMA_CRITICA,-6
14886,ALARMA_MEDIA,-5
14891,ALARMA_CRITICA,-6
14921,ALARMA_CRITICA,-6
14931,ALARMA_CRITICA,-6
14941,ALARMA_CRITICA,-6
14951,ALARMA_CRITICA,-6
14961,ALARMA_CRITICA,-6
14971,ALARMA_CRITICA,-6
14981,ALARMA_CRITICA,-6
14991,ALARMA_CRITICA,-6
15001,ALARMA_CRITICA,-6
15011,ALARMA_CRITICA,-6
15021,ALARMA_CRITICA,-6
15031,ALARMA_CRITICA,-6
15041,ALARMA_CRITICA,-6
15051,ALARMA_CRITICA,-6
15061,ALARMA_CRITICA,-6
15071,ALARMA_CRITICA,-6
15081,ALARMA_CRITICA,-6
15091,ALARMA_CRITICA,-6
15101,ALARMA_CRITICA,-6
16983,ALARMA_MEDIA,-5
17895,ALARMA_MEDIA,-5
17955,ALARMA_MEDIA,-5
17960,ALARMA_CRITICA,-6
17984,ALARMA_MEDIA,-5
17989,ALARMA_CRITICA,-6
18019,ALARMA_CRITICA,-6
18029,ALARMA_CRITICA,-6
18039,ALARMA_CRITICA,-6
18049,ALARMA_CRITICA,-6
18059,ALARMA_CRITICA,-6
18069,ALARMA_CRITICA,-6
18079,ALARMA_CRITICA,-6
18089,ALARMA_CRITICA,-6
18099,ALARMA_CRITICA,-6
18109,ALARMA_CRITICA,-6
18119,ALARMA_CRITICA,-6
18129,ALARMA_CRITICA,-6
18139,ALARMA_CRITICA,-6
18149,ALARMA_CRITICA,-6
18742,ALARMA_MEDIA,-5
19277,ALARMA_MEDIA,-5
19286,ALARMA_MEDIA,-5
19291,ALARMA_CRITICA,-6
19321,ALARMA_CRITICA,-6
19331,ALARMA_CRITICA,-6
19341,ALARMA_CRITICA,-6
19351,ALARMA_CRITICA,-6
19361,ALARMA_CRITICA,-6
19371,ALARMA_CRITICA,-6
19381,ALARMA_CRITICA,-6
19391,ALARMA_CRITICA,-6
19401,ALARMA_CRITICA,-6
19411,ALARMA_CRITICA,-6
19421,ALARMA_CRITICA,-6
19431,ALARMA_CRITICA,-6
19441,ALARMA_CRITICA,-6
19451,ALARMA_CRITICA,-6
19461,ALARMA_CRITICA,-6
19471,ALARMA_CRITICA,-6
19481,ALARMA_CRITICA,-6
19491,ALARMA_CRITICA,-6
20010,ALARMA_MEDIA,-5
20139,ALARMA_MEDIA,-5
20144,ALARMA_CRITICA,-6
20174,ALARMA_CRITICA,-6
20184,ALARMA_CRITICA,-6
21790,ALARMA_MEDIA,-5
21795,ALARMA_CRITICA,-6
21825,ALARMA_CRITICA,-6
21835,ALARMA_CRITICA,-6
21845,ALARMA_CRITICA,-6
21855,ALARMA_CRITICA,-6
21865,ALARMA_CRITICA,-6
21875,ALARMA_CRITICA,-6
21885,ALARMA_CRITICA,-6
21895,ALARMA_CRITICA,-6
21905,ALARMA_CRITICA,-6
22248,ALARMA_MEDIA,-5
23404,ALARMA_MEDIA,-5
23409,ALARMA_CRITICA,-6
23439,ALARMA_CRITICA,-6
23449,ALARMA_CRITICA,-6
23459,ALARMA_CRITICA,-6
23469,ALARMA_CRITICA,-6
23479,ALARMA_CRITICA,-6
23489,ALARMA_CRITICA,-6
23499,ALARMA_CRITICA,-6
23509,ALARMA_CRITICA,-6
23519,ALARMA_CRITICA,-6
23529,ALARMA_CRITICA,-6
23539,ALARMA_CRITICA,-6
23549,ALARMA_CRITICA,-6
23559,ALARMA_CRITICA,-6
23569,ALARMA_CRITICA,-6
24378,ALARMA_MEDIA,-5
26041.3,ALARMA_BAJA,-4
