Time,Signal_Type,Value
0,ORDEN_MEDICA,190
1.24957,CAUDAL_ACTUADOR,174.065
5.24957,CAUDAL_ACTUADOR,201.122
274.25,CAUDAL_ACTUADOR,208.585
613.25,CAUDAL_ACTUADOR,195.136
808.25,CAUDAL_ACTUADOR,184.789
1042.25,CAUDAL_ACTUADOR,198.796
1459.25,CAUDAL_ACTUADOR,174.605
1551.25,CAUDAL_ACTUADOR,198.687
1714.3,ORDEN_MEDICA,117
1716.45,CAUDAL_ACTUADOR,120.615
2157.45,CAUDAL_ACTUADOR,121.767
2594.45,CAUDAL_ACTUADOR,117.652
3039.45,CAUDAL_ACTUADOR,119.491
3161.45,CAUDAL_ACTUADOR,124.284
3734.45,CAUDAL_ACTUADOR,127.887
3740.75,ORDEN_MEDICA,94
3742.17,CAUDAL_ACTUADOR,88.8683
4075.17,CAUDAL_ACTUADOR,91.3422
4180.17,CAUDAL_ACTUADOR,101.711
4233.17,CAUDAL_ACTUADOR,94.5045
4638.17,CAUDAL_ACTUADOR,87.7962
4904.17,CAUDAL_ACTUADOR,93.1849
5245.17,CAUDAL_ACTUADOR,87.1475
5491.17,CAUDAL_ACTUADOR,95.6115
5649.45,ORDEN_MEDICA,99
5649.85,CAUDAL_ACTUADOR,105.892
5739.85,CAUDAL_ACTUADOR,98.9397
6258.85,CAUDAL_ACTUADOR,91.3196
6669.85,CAUDAL_ACTUADOR,104.28
7064.85,CAUDAL_ACTUADOR,108.814
7583.85,CAUDAL_ACTUADOR,101.745
7863.85,CAUDAL_ACTUADOR,103.233
8264.85,CAUDAL_ACTUADOR,103.893
8739.85,CAUDAL_ACTUADOR,91.5546
9075.85,CAUDAL_ACTUADOR,95.7784
9441.85,CAUDAL_ACTUADOR,105.781
9697.85,CAUDAL_ACTUADOR,100.934
9957.85,CAUDAL_ACTUADOR,106.014
10371.6,ORDEN_MEDICA,158
10373.8,CAUDAL_ACTUADOR,168.9
10820.8,CAUDAL_ACTUADOR,151.157
11000.8,CAUDAL_ACTUADOR,158.09
11236.2,ORDEN_MEDICA,131
11237.4,CAUDAL_ACTUADOR,134.492
11262.4,CAUDAL_ACTUADOR,121.835
11413.4,CAUDAL_ACTUADOR,135.223
11689.4,CAUDAL_ACTUADOR,137.976
11855.4,CAUDAL_ACTUADOR,137.192
12356.4,CAUDAL_ACTUADOR,124.896
12799.4,CAUDAL_ACTUADOR,130.409
13078.4,FIN_BOLSA,-1
13078.4,ALARMA_BAJA,-4
13104.8,CAUDAL_ACTUADOR,0
13209.4,CONFIRMACION_ENFERMERO,-2
13209.5,CAUDAL_ACTUADOR,123.377
13368.4,ORDEN_MEDICA,184
13368.5,CAUDAL_ACTUADOR,183.011
13885.5,CAUDAL_ACTUADOR,168.265
14258.5,CAUDAL_ACTUADOR,200.145
14536.5,CAUDAL_ACTUADOR,172.091
14822.5,CAUDAL_ACTUADOR,173.973
14902.5,CAUDAL_ACTUADOR,168.743
14995.5,CAUDAL_ACTUADOR,172.478
15420.5,CAUDAL_ACTUADOR,183.744
15735.5,CAUDAL_ACTUADOR,171.915
16273.5,CAUDAL_ACTUADOR,198.286
16680.5,CAUDAL_ACTUADOR,174.901
16837.5,CAUDAL_ACTUADOR,199.191
17019.5,CAUDAL_ACTUADOR,182.579
17281.5,CAUDAL_ACTUADOR,179.808
17290.5,CAUDAL_ACTUADOR,185.006
17537.5,CAUDAL_ACTUADOR,188.453
17796.4,ORDEN_MEDICA,162
17796.7,CAUDAL_ACTUADOR,152.378
18380.7,CAUDAL_ACTUADOR,161.587
18606.7,CAUDAL_ACTUADOR,163.421
18967.7,CAUDAL_ACTUADOR,173.032
19050.7,CAUDAL_ACTUADOR,152.485
19215.7,CAUDAL_ACTUADOR,159.072
19531.7,CAUDAL_ACTUADOR,153.886
19757.7,CAUDAL_ACTUADOR,148.178
20162.7,CAUDAL_ACTUADOR,164.272
20190.7,CAUDAL_ACTUADOR,177.011
20663.7,CAUDAL_ACTUADOR,150.244
21173.7,CAUDAL_ACTUADOR,147.942
21717.7,CAUDAL_ACTUADOR,175.382
22236.7,CAUDAL_ACTUADOR,153.347
22517.7,CAUDAL_ACTUADOR,148.821
22649.5,ORDEN_MEDICA,69
22649.5,CAUDAL_ACTUADOR,67.2694
22834.6,ORDEN_MEDICA,137
22836.8,CAUDAL_ACTUADOR,125.868
22958.8,FIN_BOLSA,-1
22958.8,ALARMA_BAJA,-4
23002.3,CAUDAL_ACTUADOR,0
23307.8,CONFIRMACION_ENFERMERO,-2
23309.9,CAUDAL_ACTUADOR,144.903
23622.9,CAUDAL_ACTUADOR,127.644
23930.9,CAUDAL_ACTUADOR,125.704
24015.9,CAUDAL_ACTUADOR,148.539
24129.9,CAUDAL_ACTUADOR,141.878
24719.9,CAUDAL_ACTUADOR,142.287
25105.9,CAUDAL_ACTUADOR,131.812
25161.9,CAUDAL_ACTUADOR,147.896
25549.9,CAUDAL_ACTUADOR,147.913
25921.9,CAUDAL_ACTUADOR,124.694
26254.9,CAUDAL_ACTUADOR,129.807
26384.9,CAUDAL_ACTUADOR,137.908
26478.9,CAUDAL_ACTUADOR,139.847
