Time,Signal_Type,Value
2861,ALARMA_MEDIA,-5
2866,ALARMA_CRITICA,-6
2896,ALARMA_CRITICA,-6
2906,ALARMA_CRITICA,-6
2916,ALARMA_CRITICA,-6
2926,ALARMA_CRITICA,-6
2936,ALARMA_CRITICA,-6
2946,ALARMA_CRITICA,-6
2956,ALARMA_CRITICA,-6
2966,ALARMA_CRITICA,-6
2976,ALARMA_CRITICA,-6
2986,ALARMA_CRITICA,-6
2996,ALARMA_CRITICA,-6
3006,ALARMA_CRITICA,-6
3016,ALARMA_CRITICA,-6
3613,ALARMA_MEDIA,-5
7111,ALARMA_MEDIA,-5
10168,ALARMA_MEDIA,-5
10762,ALARMA_MEDIA,-5
10767,ALARMA_CRITICA,-6
10797,ALARMA_CRITICA,-6
10807,ALARMA_CRITICA,-6
10817,ALARMA_CRITICA,-6
10827,ALARMA_CRITICA,-6
10837,ALARMA_CRITICA,-6
10847,ALARMA_CRITICA,-6
10857,ALARMA_CRITICA,-6
10867,ALARMA_CRITICA,-6
10877,ALARMA_CRITICA,-6
10887,ALARMA_CRITICA,-6
10897,ALARMA_CRITICA,-6
10907,ALARMA_CRITICA,-6
10917,ALARMA_CRITICA,-6
10927,ALARMA_CRITICA,-6
11770,ALARMA_MEDIA,-5
12092,ALARMA_MEDIA,-5
12097,ALARMA_CRITICA,-6
12128.2,ALARMA_BAJA,-4
13088,ALARMA_MEDIA,-5
13904,ALARMA_MEDIA,-5
13908,ALARMA_CRITICA,-6
13938,ALARMA_CRITICA,-6
13948,ALARMA_CRITICA,-6
13958,ALARMA_CRITICA,-6
13968,ALARMA_CRITICA,-6
13978,ALARMA_CRITICA,-6
13988,ALARMA_CRITICA,-6
13998,ALARMA_CRITICA,-6
14008,ALARMA_CRITICA,-6
14018,ALARMA_CRITICA,-6
14028,ALARMA_CRITICA,-6
14038,ALARMA_CRITICA,-6
14048,ALARMA_CRITICA,-6
14058,ALARMA_CRITICA,-6
14886,ALARMA_MEDIA,-5
14891,ALARMA_CRITICA,-6
14921,ALARMA_CRITICA,-6
14931,ALARMA_CRITICA,-6
14941,ALARMA_CRITICA,-6
14951,ALARMA_CRITICA,-6
14961,ALARMA_CRITICA,-6
14971,ALARMA_CRITICA,-6
14981,ALARMA_CRITICA,-6
14991,ALARMA_CRITICA,-6
15001,ALARMA_CRITICA,-6
15011,ALARMA_CRITICA,-6
15021,ALARMA_CRITICA,-6
15031,ALARMA_CRITICA,-6
15041,ALARMA_CRITICA,-6
15051,ALARMA_CRITICA,-6
15061,ALARMA_CRITICA,-6
15071,ALARMA_CRITICA,-6
15081,ALARMA_CRITICA,-6
15091,ALARMA_CRITICA,-6
15101,ALARMA_CRITICA,-6
19156,ALARMA_MEDIA,-5
19825,ALARMA_MEDIA,-5
19885,ALARMA_MEDIA,-5
19890,ALARMA_CRITICA,-6
19914,ALARMA_MEDIA,-5
19919,ALARMA_CRITICA,-6
19949,ALARMA_CRITICA,-6
19959,ALARMA_CRITICA,-6
19969,ALARMA_CRITICA,-6
19979,ALARMA_CRITICA,-6
19989,ALARMA_CRITICA,-6
19999,ALARMA_CRITICA,-6
20009,ALARMA_CRITICA,-6
20019,ALARMA_CRITICA,-6
20029,ALARMA_CRITICA,-6
20039,ALARMA_CRITICA,-6
20049,ALARMA_CRITICA,-6
20059,ALARMA_CRITICA,-6
20069,ALARMA_CRITICA,-6
20079,ALARMA_CRITICA,-6
20672,ALARMA_MEDIA,-5
24658,ALARMA_MEDIA,-5
24662,ALARMA_CRITICA,-6
24692,ALARMA_CRITICA,-6
24702,ALARMA_CRITICA,-6
24712,ALARMA_CRITICA,-6
24722,ALARMA_CRITICA,-6
24732,ALARMA_CRITICA,-6
24742,ALARMA_CRITICA,-6
24752,ALARMA_CRITICA,-6
24762,ALARMA_CRITICA,-6
24772,ALARMA_CRITICA,-6
24782,ALARMA_CRITICA,-6
25407,ALARMA_MEDIA,-5
25412,ALARMA_CRITICA,-6
25442,ALARMA_CRITICA,-6
25452,ALARMA_CRITICA,-6
