Time,Signal_Type,Value
0,ORDEN_MEDICA,190
1.24957,CAUDAL_ACTUADOR,170.878
5.24957,CAUDAL_ACTUADOR,203.346
6.46377,CAUDAL_ACTUADOR,196.164
201.464,CAUDAL_ACTUADOR,183.747
435.464,CAUDAL_ACTUADOR,200.555
852.464,CAUDAL_ACTUADOR,171.526
944.464,CAUDAL_ACTUADOR,200.424
1182.46,CAUDAL_ACTUADOR,204.198
1554.46,CAUDAL_ACTUADOR,201.912
1714.3,ORDEN_MEDICA,118
1715.43,CAUDAL_ACTUADOR,118.79
2160.43,CAUDAL_ACTUADOR,121.015
2282.43,CAUDAL_ACTUADOR,126.815
2855.43,CAUDAL_ACTUADOR,131.176
2861,ALARMA_MEDIA,-5
2866,ALARMA_CRITICA,-6
2866.42,CAUDAL_ACTUADOR,0
2896,ALARMA_CRITICA,-6
2906,ALARMA_CRITICA,-6
2916,ALARMA_CRITICA,-6
2926,ALARMA_CRITICA,-6
2936,ALARMA_CRITICA,-6
2946,ALARMA_CRITICA,-6
2956,ALARMA_CRITICA,-6
2966,ALARMA_CRITICA,-6
2976,ALARMA_CRITICA,-6
2986,ALARMA_CRITICA,-6
2996,ALARMA_CRITICA,-6
3006,ALARMA_CRITICA,-6
3016,ALARMA_CRITICA,-6
3022,CONFIRMACION_ENFERMERO,-2
3024.48,CAUDAL_ACTUADOR,122.613
3607.48,CAUDAL_ACTUADOR,131.889
3613,ALARMA_MEDIA,-5
3616.38,CAUDAL_ACTUADOR,118.488
3617.38,CAUDAL_ACTUADOR,115.496
4136.38,CAUDAL_ACTUADOR,121.926
4416.38,CAUDAL_ACTUADOR,124.055
4817.38,CAUDAL_ACTUADOR,124.998
5292.38,CAUDAL_ACTUADOR,107.351
5628.38,CAUDAL_ACTUADOR,113.392
5994.38,CAUDAL_ACTUADOR,127.7
6250.38,CAUDAL_ACTUADOR,120.766
6510.38,CAUDAL_ACTUADOR,128.032
6934.38,CAUDAL_ACTUADOR,120.793
7105.38,CAUDAL_ACTUADOR,132.07
7111,ALARMA_MEDIA,-5
7111.38,CAUDAL_ACTUADOR,126.114
7373.38,CAUDAL_ACTUADOR,114.906
7553.38,CAUDAL_ACTUADOR,118.08
7794.38,CAUDAL_ACTUADOR,115.875
8225.38,CAUDAL_ACTUADOR,126.392
8428.38,CAUDAL_ACTUADOR,119.503
8648.38,CAUDAL_ACTUADOR,117.828
9176.38,CAUDAL_ACTUADOR,114.613
9675.38,CAUDAL_ACTUADOR,111.604
10162.4,CAUDAL_ACTUADOR,132.117
10168,ALARMA_MEDIA,-5
10171,CAUDAL_ACTUADOR,114.242
10242,CAUDAL_ACTUADOR,121.92
10671,CAUDAL_ACTUADOR,115.874
10756,CAUDAL_ACTUADOR,105.422
10762,ALARMA_MEDIA,-5
10767,ALARMA_CRITICA,-6
10767,CAUDAL_ACTUADOR,0
10797,ALARMA_CRITICA,-6
10807,ALARMA_CRITICA,-6
10817,ALARMA_CRITICA,-6
10827,ALARMA_CRITICA,-6
10837,ALARMA_CRITICA,-6
10847,ALARMA_CRITICA,-6
10857,ALARMA_CRITICA,-6
10867,ALARMA_CRITICA,-6
10877,ALARMA_CRITICA,-6
10887,ALARMA_CRITICA,-6
10897,ALARMA_CRITICA,-6
10907,ALARMA_CRITICA,-6
10917,ALARMA_CRITICA,-6
10927,ALARMA_CRITICA,-6
10936,ORDEN_MEDICA,184
10936.4,CAUDAL_ACTUADOR,173.063
11002,CONFIRMACION_ENFERMERO,-2
11171.4,CAUDAL_ACTUADOR,191.847
11764.4,CAUDAL_ACTUADOR,204.696
11770,ALARMA_MEDIA,-5
11773.3,CAUDAL_ACTUADOR,170.778
12086.3,CAUDAL_ACTUADOR,163.097
12092,ALARMA_MEDIA,-5
12097,ALARMA_CRITICA,-6
12097.4,CAUDAL_ACTUADOR,0
12098,CONFIRMACION_ENFERMERO,-2
12100.2,CAUDAL_ACTUADOR,177.878
12128.2,FIN_BOLSA,-1
12128.2,ALARMA_BAJA,-4
12143.5,CAUDAL_ACTUADOR,0
12437.2,CONFIRMACION_ENFERMERO,-2
12437.7,CAUDAL_ACTUADOR,195.088
12587.7,CAUDAL_ACTUADOR,185.712
12885.7,CAUDAL_ACTUADOR,174.816
13082.7,CAUDAL_ACTUADOR,163.348
13088,ALARMA_MEDIA,-5
13090.4,CAUDAL_ACTUADOR,178.36
13360.4,CAUDAL_ACTUADOR,175.003
13898.4,CAUDAL_ACTUADOR,203.866
13904,ALARMA_MEDIA,-5
13907,CAUDAL_ACTUADOR,162.902
13908,ALARMA_CRITICA,-6
13908.5,CAUDAL_ACTUADOR,0
13938,ALARMA_CRITICA,-6
13948,ALARMA_CRITICA,-6
13958,ALARMA_CRITICA,-6
13968,ALARMA_CRITICA,-6
13978,ALARMA_CRITICA,-6
13988,ALARMA_CRITICA,-6
13998,ALARMA_CRITICA,-6
14008,ALARMA_CRITICA,-6
14018,ALARMA_CRITICA,-6
14028,ALARMA_CRITICA,-6
14038,ALARMA_CRITICA,-6
14048,ALARMA_CRITICA,-6
14058,ALARMA_CRITICA,-6
14063,CONFIRMACION_ENFERMERO,-2
14064.3,CAUDAL_ACTUADOR,175.639
14120.3,CAUDAL_ACTUADOR,201.561
14508.3,CAUDAL_ACTUADOR,201.589
14880.3,CAUDAL_ACTUADOR,164.167
14886,ALARMA_MEDIA,-5
14891,ALARMA_CRITICA,-6
14891.2,CAUDAL_ACTUADOR,0
14921,ALARMA_CRITICA,-6
14931,ALARMA_CRITICA,-6
14941,ALARMA_CRITICA,-6
14951,ALARMA_CRITICA,-6
14961,ALARMA_CRITICA,-6
14971,ALARMA_CRITICA,-6
14981,ALARMA_CRITICA,-6
14991,ALARMA_CRITICA,-6
15001,ALARMA_CRITICA,-6
15011,ALARMA_CRITICA,-6
15021,ALARMA_CRITICA,-6
15031,ALARMA_CRITICA,-6
15041,ALARMA_CRITICA,-6
15051,ALARMA_CRITICA,-6
15061,ALARMA_CRITICA,-6
15071,ALARMA_CRITICA,-6
15081,ALARMA_CRITICA,-6
15091,ALARMA_CRITICA,-6
15101,ALARMA_CRITICA,-6
15108,CONFIRMACION_ENFERMERO,-2
15110.3,CAUDAL_ACTUADOR,192.305
15602.3,CAUDAL_ACTUADOR,184.277
15887.2,ORDEN_MEDICA,0
15887.4,CAUDAL_ACTUADOR,0
18609.3,ORDEN_MEDICA,3
18610.5,CAUDAL_ACTUADOR,2.76361
19150.5,CAUDAL_ACTUADOR,3.33496
19156,ALARMA_MEDIA,-5
