Time,Signal_Type,Value
0,ORDEN_MEDICA,183
1.45582,CAUDAL_ACTUADOR,196.107
588.456,CAUDAL_ACTUADOR,169.716
838.456,CAUDAL_ACTUADOR,194.781
880.184,ORDEN_MEDICA,27
882.643,CAUDAL_ACTUADOR,29.9304
888,ALARMA_MEDIA,-5
889.008,CAUDAL_ACTUADOR,27.6932
1457.01,CAUDAL_ACTUADOR,25.3339
1988.01,CAUDAL_ACTUADOR,24.7753
2512.01,CAUDAL_ACTUADOR,24.601
3048.01,CAUDAL_ACTUADOR,30.233
3054,ALARMA_MEDIA,-5
3055.32,CAUDAL_ACTUADOR,25.6783
3249.32,CAUDAL_ACTUADOR,27.1574
3280.3,ORDEN_MEDICA,29
3280.44,CAUDAL_ACTUADOR,31.725
3679.44,CAUDAL_ACTUADOR,27.9731
4195.44,CAUDAL_ACTUADOR,31.9164
4201,ALARMA_MEDIA,-5
4202.33,CAUDAL_ACTUADOR,26.8578
4203.23,CAUDAL_ACTUADOR,25.6594
4209,ALARMA_MEDIA,-5
4213,ALARMA_CRITICA,-6
4213.27,CAUDAL_ACTUADOR,0
4243,ALARMA_CRITICA,-6
4253,ALARMA_CRITICA,-6
4263,ALARMA_CRITICA,-6
4273,ALARMA_CRITICA,-6
4283,ALARMA_CRITICA,-6
4293,ALARMA_CRITICA,-6
4303,ALARMA_CRITICA,-6
4313,ALARMA_CRITICA,-6
4323,ALARMA_CRITICA,-6
4333,ALARMA_CRITICA,-6
4343,ALARMA_CRITICA,-6
4353,ALARMA_CRITICA,-6
4357,CONFIRMACION_ENFERMERO,-2
4359.08,CAUDAL_ACTUADOR,30.3075
4938.08,CAUDAL_ACTUADOR,28.5831
5323.08,CAUDAL_ACTUADOR,31.2912
5575.08,CAUDAL_ACTUADOR,27.1136
5775.08,CAUDAL_ACTUADOR,27.9585
5836.08,CAUDAL_ACTUADOR,32.177
5842,ALARMA_MEDIA,-5
5843.2,CAUDAL_ACTUADOR,31.9508
5845.48,CAUDAL_ACTUADOR,27.0221
6313.48,CAUDAL_ACTUADOR,31.9241
6319,ALARMA_MEDIA,-5
6320.39,CAUDAL_ACTUADOR,27.4762
6321.14,CAUDAL_ACTUADOR,26.8252
6411.14,CAUDAL_ACTUADOR,29.3928
6576.88,ORDEN_MEDICA,40
6577.38,CAUDAL_ACTUADOR,42.5006
6659.38,CAUDAL_ACTUADOR,44.176
6665,ALARMA_MEDIA,-5
6666.12,CAUDAL_ACTUADOR,38.0239
6667.06,CAUDAL_ACTUADOR,42.2286
7087.06,CAUDAL_ACTUADOR,42.8173
7416.06,CAUDAL_ACTUADOR,42.3527
7749.06,CAUDAL_ACTUADOR,44.321
7755,ALARMA_MEDIA,-5
7756.37,CAUDAL_ACTUADOR,42.8589
7757.05,CAUDAL_ACTUADOR,42.4935
7976.05,CAUDAL_ACTUADOR,36.4951
8423.05,CAUDAL_ACTUADOR,35.951
